"Min,Max,Modal Price from Maharashtra,Hingoli[Wheat],Sengoan from 01-Jan-2010To25-Oct-2020 (Total-507) (Total-507)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hingoli,Sengoan,Wheat,Other,FAQ,1300,1320,1300,6-Oct-20
2,Hingoli,Sengoan,Wheat,Other,FAQ,1350,1350,1350,5-Oct-20
3,Hingoli,Sengoan,Wheat,Other,FAQ,1350,1350,1350,3-Oct-20
4,Hingoli,Sengoan,Wheat,Other,FAQ,1375,1375,1375,2-Oct-20
5,Hingoli,Sengoan,Wheat,Other,FAQ,1350,1350,1350,30-Sep-20
6,Hingoli,Sengoan,Wheat,Other,FAQ,1500,1500,1500,29-Sep-20
7,Hingoli,Sengoan,Wheat,Other,FAQ,1300,1300,1300,25-Sep-20
8,Hingoli,Sengoan,Wheat,Other,FAQ,1370,1370,1370,24-Sep-20
9,Hingoli,Sengoan,Wheat,Other,FAQ,1450,1450,1450,17-Sep-20
10,Hingoli,Sengoan,Wheat,Other,FAQ,1400,1400,1400,16-Sep-20
11,Hingoli,Sengoan,Wheat,Other,FAQ,1600,1600,1600,13-Mar-20
12,Hingoli,Sengoan,Wheat,Other,FAQ,1775,1825,1800,7-Mar-20
13,Hingoli,Sengoan,Wheat,Other,FAQ,1827,1827,1827,27-Feb-20
14,Hingoli,Sengoan,Wheat,Other,FAQ,2000,2000,2000,7-Feb-20
15,Hingoli,Sengoan,Wheat,Other,FAQ,1900,1900,1900,11-Oct-19
16,Hingoli,Sengoan,Wheat,Other,FAQ,2000,2000,2000,28-Sep-19
17,Hingoli,Sengoan,Wheat,Other,FAQ,2100,2100,2100,24-Jun-19
18,Hingoli,Sengoan,Wheat,Other,FAQ,1900,1950,1900,8-Apr-19
19,Hingoli,Sengoan,Wheat,Other,FAQ,1750,1750,1750,28-Mar-19
20,Hingoli,Sengoan,Wheat,Other,FAQ,1700,1811,1725,16-Mar-19
21,Hingoli,Sengoan,Wheat,Other,FAQ,1601,2051,1801,5-Mar-19
22,Hingoli,Sengoan,Wheat,Other,FAQ,1870,1870,1870,12-Feb-19
23,Hingoli,Sengoan,Wheat,Other,FAQ,1675,1675,1675,25-Sep-18
24,Hingoli,Sengoan,Wheat,Other,FAQ,1650,1650,1650,18-Sep-18
25,Hingoli,Sengoan,Wheat,Other,FAQ,1750,1750,1750,4-Nov-17
26,Hingoli,Sengoan,Wheat,Other,FAQ,1735,1775,1750,3-Nov-17
27,Hingoli,Sengoan,Wheat,Other,FAQ,1500,1800,1650,28-Sep-16
28,Hingoli,Sengoan,Wheat,Other,FAQ,1500,1500,1500,5-May-16
29,Hingoli,Sengoan,Wheat,Other,FAQ,1800,1800,1800,18-Apr-16
30,Hingoli,Sengoan,Wheat,Other,FAQ,1500,1500,1500,7-Apr-16
31,Hingoli,Sengoan,Wheat,Other,FAQ,1600,1600,1600,30-Mar-16
32,Hingoli,Sengoan,Wheat,Other,FAQ,1725,1725,1725,28-Mar-16
33,Hingoli,Sengoan,Wheat,Other,FAQ,1700,1700,1700,22-Mar-16
34,Hingoli,Sengoan,Wheat,Other,FAQ,1700,1700,1700,19-Mar-16
35,Hingoli,Sengoan,Wheat,Other,FAQ,1625,1625,1625,3-Mar-16
36,Hingoli,Sengoan,Wheat,Other,FAQ,1650,1650,1650,4-Feb-16
