"Min,Max,Modal Price from Maharashtra,Ahmednagar[Wheat],Shrirampur from 01-Jan-2010To25-Oct-2020 (Total-2348) (Total-2348)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1400,1600,1550,14-Oct-20
2,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1400,1525,1500,13-Oct-20
3,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1400,1550,1500,12-Oct-20
4,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1425,1700,1650,10-Oct-20
5,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1450,1650,1600,9-Oct-20
6,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1400,1651,1600,8-Oct-20
7,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1400,1700,1650,6-Oct-20
8,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1400,1625,1550,5-Oct-20
9,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1425,1725,1700,3-Oct-20
10,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1425,1625,1600,1-Oct-20
11,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1475,1675,1610,29-Sep-20
12,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1475,1700,1675,28-Sep-20
13,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1575,1700,1650,25-Sep-20
14,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1511,1751,1700,23-Sep-20
15,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1300,1461,1450,22-Sep-20
16,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1475,1600,1575,21-Sep-20
17,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1550,1700,1675,12-Sep-20
18,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1500,1700,1650,11-Sep-20
19,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1500,1711,1700,10-Sep-20
20,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1500,1700,1675,9-Sep-20
21,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1500,1750,1700,8-Sep-20
22,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1500,1521,1515,7-Sep-20
23,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1556,1725,1700,5-Sep-20
24,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1500,1700,1675,4-Sep-20
25,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1600,1700,1650,3-Sep-20
26,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1650,1750,1700,2-Sep-20
27,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1800,1800,1800,29-Aug-20
28,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1600,1750,1700,28-Aug-20
29,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1600,1651,1625,27-Aug-20
30,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1650,1775,1700,26-Aug-20
31,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1625,1750,1700,25-Aug-20
32,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1600,1700,1650,24-Aug-20
33,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1600,1700,1675,20-Aug-20
34,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1650,1725,1700,19-Aug-20
35,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1625,1700,1685,17-Aug-20
36,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1723,1726,1725,14-Aug-20
37,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1650,1700,1675,10-Aug-20
38,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1625,1731,1700,8-Aug-20
39,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1650,1735,1700,7-Aug-20
40,Ahmednagar,Shrirampur,Wheat,Other,FAQ,1650,1675,1665,6-Aug-20
