"Min,Max,Modal Price from Maharashtra,Nagpur[Wheat],Umared from 01-Jan-2010To25-Oct-2020 (Total-696) (Total-696)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,10-Oct-20
2,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,8-Oct-20
3,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,3-Oct-20
4,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,1-Oct-20
5,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,26-Sep-20
6,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,24-Sep-20
7,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,5-Sep-20
8,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,3-Sep-20
9,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,29-Aug-20
10,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,27-Aug-20
11,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,13-Aug-20
12,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,30-Jul-20
13,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,23-Jul-20
14,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,18-Jul-20
15,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,27-Jun-20
16,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,25-Jun-20
17,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,23-Jun-20
18,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,20-Jun-20
19,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,18-Jun-20
20,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,16-Jun-20
21,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,13-Jun-20
22,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,11-Jun-20
23,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,6-Jun-20
24,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,4-Jun-20
25,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,30-May-20
26,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,28-May-20
27,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,23-May-20
28,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,21-May-20
29,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,16-May-20
30,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,14-May-20
31,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,9-May-20
32,Nagpur,Umared,Wheat,Other,FAQ,1700,2700,2200,18-Apr-20
33,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,21-Mar-20
34,Nagpur,Umared,Wheat,Other,FAQ,1700,2600,2100,19-Mar-20
35,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,14-Mar-20
36,Nagpur,Umared,Wheat,Other,FAQ,1800,2700,2100,12-Mar-20
37,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,7-Mar-20
38,Nagpur,Umared,Wheat,Other,FAQ,1800,2700,2100,5-Mar-20
39,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,29-Feb-20
40,Nagpur,Umared,Wheat,Other,FAQ,1800,2700,2100,27-Feb-20
41,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,20-Feb-20
42,Nagpur,Umared,Wheat,Other,FAQ,1800,2700,2100,15-Feb-20
43,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,13-Feb-20
44,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,8-Feb-20
45,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,6-Feb-20
46,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,1-Feb-20
47,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,30-Jan-20
48,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,25-Jan-20
49,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,23-Jan-20
50,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,16-Jan-20
51,Nagpur,Umared,Wheat,Other,FAQ,1800,2500,2100,11-Jan-20
52,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,9-Jan-20
53,Nagpur,Umared,Wheat,Other,FAQ,1800,2500,2100,2-Jan-20
54,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,28-Dec-19
55,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,26-Dec-19
56,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,21-Dec-19
57,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,19-Dec-19
58,Nagpur,Umared,Wheat,Other,FAQ,1800,2500,2100,14-Dec-19
59,Nagpur,Umared,Wheat,Other,FAQ,1800,2500,2100,12-Dec-19
60,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,7-Dec-19
61,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,5-Dec-19
62,Nagpur,Umared,Wheat,Other,FAQ,1800,2600,2100,30-Nov-19
