"Min,Max,Modal Price from Maharashtra,Akola[Cotton],Akot from 01-Jan-2010To22-Oct-2020 (Total-885) (Total-885)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4400,5230,5200,4-Feb-20
2,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5185,5460,5400,21-Jan-20
3,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5135,5605,5600,11-Jan-20
4,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5140,5535,5500,9-Jan-20
5,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5080,5500,5450,6-Jan-20
6,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5050,5530,5500,4-Jan-20
7,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5050,5550,5500,2-Jan-20
8,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5050,5530,5500,1-Jan-20
9,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5130,5535,5500,31-Dec-19
10,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5085,5570,5500,28-Dec-19
11,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5045,5530,5500,26-Dec-19
12,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4850,5440,5400,17-Dec-19
13,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4995,5440,5400,16-Dec-19
14,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4950,5500,5450,14-Dec-19
15,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4990,5425,5400,12-Dec-19
16,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5000,5420,5400,11-Dec-19
17,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5010,5465,5400,10-Dec-19
18,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4850,5375,5300,7-Dec-19
19,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4785,5305,5300,5-Dec-19
20,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4800,5300,5250,4-Dec-19
21,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4765,5280,5200,3-Dec-19
22,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4855,5225,5200,2-Dec-19
23,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4855,5270,5200,30-Nov-19
24,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4705,5255,5200,23-Nov-19
25,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,2360,3710,3700,21-Nov-19
26,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4820,5240,5200,20-Nov-19
27,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4625,5215,5200,19-Nov-19
28,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,4795,5100,5000,18-Nov-19
29,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6370,6490,6400,30-Apr-19
30,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6350,6545,6500,29-Apr-19
31,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6300,6435,6400,27-Apr-19
32,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6380,6575,6500,22-Apr-19
33,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6260,6355,6300,20-Apr-19
34,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6295,6365,6300,15-Apr-19
35,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6250,6355,6250,11-Apr-19
36,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6205,6405,6400,10-Apr-19
37,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6280,6450,6400,4-Apr-19
38,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6245,6490,6400,3-Apr-19
39,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,6200,6320,6300,2-Apr-19
40,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5925,6105,6100,28-Mar-19
41,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5935,6095,6000,27-Mar-19
42,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5990,6160,6100,26-Mar-19
43,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5895,6040,6000,20-Mar-19
44,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5625,5770,5700,13-Mar-19
45,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5595,5700,5650,12-Mar-19
46,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5575,5700,5650,11-Mar-19
47,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5465,5595,5500,9-Mar-19
48,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5400,5600,5550,7-Mar-19
49,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5475,5610,5600,6-Mar-19
50,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5465,5595,5500,5-Mar-19
51,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5440,5550,5500,2-Mar-19
52,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5400,5535,5500,26-Feb-19
53,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5405,5535,5500,21-Feb-19
54,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5305,5480,5400,20-Feb-19
55,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5465,5575,5500,14-Feb-19
56,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5495,5600,5500,12-Feb-19
57,Akola,Akot,Cotton,H-4(A) 27mm FIne,FAQ,5390,5600,5500,11-Feb-19
